التاريخ,الفرع,الصنف,الفئة,الكمية,سعر الوحدة,الإجمالي
2026-05-19,فرع الجامعة,صنف-119,مشروبات,1,89.35,89.35
2026-05-19,فرع الجامعة,صنف-144,حلويات,4,47.14,188.56
2026-05-20,فرع الجامعة,صنف-146,مستلزمات,16,85.74,1371.84
2026-05-20,فرع الجامعة,صنف-138,وجبات,8,197.99,1583.92
2026-05-20,فرع الجامعة,صنف-195,مشروبات,36,116.47,4192.92
2026-05-20,فرع الجامعة,صنف-176,خدمات,8,198.06,1584.48
2026-05-20,فرع الجامعة,صنف-105,مستلزمات,30,13.8,414.0
2026-05-21,فرع الجامعة,صنف-145,مستلزمات,9,106.75,960.75
2026-05-21,فرع الجامعة,صنف-193,مشروبات,24,183.27,4398.48
2026-05-22,فرع الجامعة,صنف-111,حلويات,11,167.37,1841.07
2026-05-22,فرع الجامعة,صنف-161,حلويات,1,211.36,211.36
2026-05-22,فرع الجامعة,صنف-113,حلويات,10,69.01,690.1
2026-05-23,فرع الجامعة,صنف-168,مشروبات,10,126.55,1265.5
2026-05-23,فرع الجامعة,صنف-131,خدمات,8,84.45,675.6
2026-05-23,فرع الجامعة,صنف-164,وجبات,37,136.19,5039.03
2026-05-24,فرع الجامعة,صنف-171,حلويات,13,74.45,967.85
2026-05-24,فرع الجامعة,صنف-193,وجبات,9,227.56,2048.04
2026-05-24,فرع الجامعة,صنف-112,خدمات,33,63.71,2102.43
2026-05-24,فرع الجامعة,صنف-162,مشروبات,7,236.11,1652.77
2026-05-25,فرع الجامعة,صنف-119,وجبات,6,188.76,1132.56
2026-05-25,فرع الجامعة,صنف-179,حلويات,2,108.88,217.76
2026-05-25,فرع الجامعة,صنف-115,خدمات,8,76.53,612.24
2026-05-26,فرع الجامعة,صنف-176,خدمات,14,62.31,872.34
2026-05-26,فرع الجامعة,صنف-109,خدمات,4,206.23,824.92
2026-05-27,فرع الجامعة,صنف-198,مشروبات,3,57.65,172.95
2026-05-27,فرع الجامعة,صنف-197,وجبات,20,88.81,1776.2
2026-05-27,فرع الجامعة,صنف-101,مستلزمات,38,230.61,8763.18
2026-05-27,فرع الجامعة,صنف-104,حلويات,27,197.72,5338.44
2026-05-28,فرع الجامعة,صنف-186,وجبات,10,184.77,1847.7
2026-05-28,فرع الجامعة,صنف-198,وجبات,10,200.43,2004.3
